month,workout_worldwide,home_workout_worldwide,gym_workout_worldwide,home_gym_worldwide
2018-03-01,59,12,16,10
2018-04-01,61,12,18,10
2018-05-01,57,13,16,9
2018-06-01,56,12,17,9
2018-07-01,51,12,17,9
2018-08-01,58,12,17,9
2018-09-01,50,11,17,10
2018-10-01,49,11,15,9
2018-11-01,47,11,15,9
2018-12-01,48,11,13,10
2019-01-01,64,16,21,13
2019-02-01,63,14,17,10
2019-03-01,55,13,17,10
2019-04-01,54,11,15,9
2019-05-01,53,12,16,9
2019-06-01,56,13,16,9
2019-07-01,56,14,17,10
2019-08-01,54,12,17,9
2019-09-01,49,11,16,10
2019-10-01,47,10,15,9
2019-11-01,47,11,16,10
2019-12-01,48,11,14,10
2020-01-01,63,15,21,12
2020-02-01,60,13,18,11
2020-03-01,56,13,17,11
2020-04-01,100,82,13,34
2020-05-01,80,44,10,25
2020-06-01,71,29,11,23
2020-07-01,66,28,13,23
2020-08-01,62,23,13,23
2020-09-01,58,21,15,20
2020-10-01,55,19,14,18
2020-11-01,48,20,12,19
2020-12-01,54,20,14,20
2021-01-01,71,31,16,25
2021-02-01,62,22,14,18
2021-03-01,63,19,15,17
2021-04-01,62,18,14,17
2021-05-01,58,19,14,17
2021-06-01,61,17,14,14
2021-07-01,56,16,16,14
2021-08-01,55,14,16,15
2021-09-01,51,14,15,13
2021-10-01,50,12,15,13
2021-11-01,49,12,14,14
2021-12-01,47,12,13,14
2022-01-01,69,21,19,21
2022-02-01,61,14,19,14
2022-03-01,57,13,19,13
2022-04-01,54,14,17,12
2022-05-01,56,13,17,12
2022-06-01,58,14,20,11
2022-07-01,51,14,20,12
2022-08-01,54,13,20,12
2022-09-01,49,11,19,11
2022-10-01,46,11,16,11
2022-11-01,47,11,18,12
2022-12-01,44,11,16,11
2023-01-01,62,17,22,15
2023-02-01,57,14,21,12
2023-03-01,55,13,19,12
